Nombre,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,G1,AB1,R1,H1,HR1,RBI1,SB1,BA1,OPS1
Jose Altuve,7,33,4,10,3,0,0,1,0,3,0.303,0.294,0.394,0.688,1,1,1,-0.47,124,500,89,149,31,74,6,0.298,0.903
Yordan Álvarez*,7,17,2,7,0,0,1,2,4,2,0.412,0.524,0.588,0.112,0,0,0,0.08,87,313,58,98,27,78,0,0.313,1.067
Michael Brantley*,7,28,3,9,0,0,0,2,4,3,0.321,0.406,0.321,0.728,1,0,0,-0.15,148,575,88,179,22,90,3,0.311,0.875
Alex Bregman,7,29,3,6,0,0,3,8,2,5,0.207,0.258,0.517,0.775,0,0,1,-0.04,156,554,122,164,41,112,5,0.296,1.015
Robinson Chirinos,6,19,2,4,1,0,2,3,0,7,0.211,0.211,0.579,0.789,0,0,0,-0.15,114,366,57,87,17,58,1,0.238,0.79
Gerrit Cole,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.04,3,7,0,0,0,0,0,0,0
Carlos Correa,7,27,3,6,2,0,1,3,3,9,0.222,0.3,0.407,0.707,0,0,0,-0.08,75,280,42,78,21,59,1,0.279,0.926
Chris Devenski,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Aledmys Díaz,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,69,210,36,57,9,40,2,0.271,0.823
Zack Greinke,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06,25,50,7,14,3,8,1,0.28,0.888
Yuli Gurriel,7,29,3,9,2,0,1,5,2,5,0.31,0.355,0.483,0.838,0,0,0,0.07,144,564,85,168,31,104,5,0.298,0.884
Will Harris,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Josh James,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Martin Maldonado,3,7,2,2,0,0,1,1,1,1,0.286,0.375,0.714,1.089,0,0,0,-0.12,105,333,46,71,12,27,0,0.213,0.671
Jake Marisnick,5,8,0,3,0,0,0,0,1,3,0.375,0.444,0.375,0.819,1,0,1,-0.01,120,292,46,68,10,34,10,0.233,0.7
Roberto Osuna,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Brad Peacock,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Pressly,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Josh Reddick*,5,14,0,3,0,0,0,1,1,2,0.214,0.267,0.214,0.481,0,0,0,-0.07,141,501,57,138,14,56,5,0.275,0.728
Hector Rondon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Joe Smith,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
George Springer,7,27,6,8,4,0,2,4,7,5,0.296,0.441,0.667,1.108,2,0,0,0.36,122,479,96,140,39,96,6,0.292,0.974
Kyle Tucker*,5,4,2,1,0,0,0,0,2,3,0.25,0.5,0.25,0.75,1,0,0,0.06,22,67,15,18,4,11,5,0.269,0.857
Jose Urquidy,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.03,2,4,0,0,0,0,0,0,0
Justin Verlander,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Totales y Promedios,108,250,30,68,12,0,11,30,27,51,0.272,0.342,0.452,0.794,6,1,3,-0.72,162,5613,920,1538,288,847,67,0.274,0.848
