Atributo,Valor,Nombre
Equipo,Astros de Houston,Jose Altuve
G,7,Jose Altuve
AB,33,Jose Altuve
R,4,Jose Altuve
H,10,Jose Altuve
2B,3,Jose Altuve
3B,0,Jose Altuve
HR,0,Jose Altuve
RBI,1,Jose Altuve
BA,0.303,Jose Altuve
OPS,0.688,Jose Altuve
Equipo,Astros de Houston,Yordan Álvarez
G,7,Yordan Álvarez
AB,17,Yordan Álvarez
R,2,Yordan Álvarez
H,7,Yordan Álvarez
2B,0,Yordan Álvarez
3B,0,Yordan Álvarez
HR,1,Yordan Álvarez
RBI,2,Yordan Álvarez
BA,0.412,Yordan Álvarez
OPS,1.112,Yordan Álvarez
Equipo,Astros de Houston,Michael Brantley
G,7,Michael Brantley
AB,28,Michael Brantley
R,3,Michael Brantley
H,9,Michael Brantley
2B,0,Michael Brantley
3B,0,Michael Brantley
HR,0,Michael Brantley
RBI,2,Michael Brantley
BA,0.321,Michael Brantley
OPS,0.728,Michael Brantley
Equipo,Astros de Houston,Alex Bregman
G,7,Alex Bregman
AB,29,Alex Bregman
R,3,Alex Bregman
H,6,Alex Bregman
2B,0,Alex Bregman
3B,0,Alex Bregman
HR,3,Alex Bregman
RBI,8,Alex Bregman
BA,0.207,Alex Bregman
OPS,0.775,Alex Bregman
Equipo,Astros de Houston,Robinson Chirinos
G,6,Robinson Chirinos
AB,19,Robinson Chirinos
R,2,Robinson Chirinos
H,4,Robinson Chirinos
2B,1,Robinson Chirinos
3B,0,Robinson Chirinos
HR,2,Robinson Chirinos
RBI,3,Robinson Chirinos
BA,0.211,Robinson Chirinos
OPS,0.789,Robinson Chirinos
Equipo,Astros de Houston,Gerrit Cole
G,2,Gerrit Cole
AB,3,Gerrit Cole
R,0,Gerrit Cole
H,0,Gerrit Cole
2B,0,Gerrit Cole
3B,0,Gerrit Cole
HR,0,Gerrit Cole
RBI,0,Gerrit Cole
BA,0,Gerrit Cole
OPS,0,Gerrit Cole
Equipo,Astros de Houston,Carlos Correa
G,7,Carlos Correa
AB,27,Carlos Correa
R,3,Carlos Correa
H,6,Carlos Correa
2B,2,Carlos Correa
3B,0,Carlos Correa
HR,1,Carlos Correa
RBI,3,Carlos Correa
BA,0.222,Carlos Correa
OPS,0.707,Carlos Correa
Equipo,Astros de Houston,Chris Devenski
G,3,Chris Devenski
AB,0,Chris Devenski
R,0,Chris Devenski
H,0,Chris Devenski
2B,0,Chris Devenski
3B,0,Chris Devenski
HR,0,Chris Devenski
RBI,0,Chris Devenski
BA,0,Chris Devenski
OPS,0,Chris Devenski
Equipo,Astros de Houston,Aledmys Díaz
G,1,Aledmys Díaz
AB,2,Aledmys Díaz
R,0,Aledmys Díaz
H,0,Aledmys Díaz
2B,0,Aledmys Díaz
3B,0,Aledmys Díaz
HR,0,Aledmys Díaz
RBI,0,Aledmys Díaz
BA,0,Aledmys Díaz
OPS,0,Aledmys Díaz
Equipo,Astros de Houston,Zack Greinke
G,2,Zack Greinke
AB,1,Zack Greinke
R,0,Zack Greinke
H,0,Zack Greinke
2B,0,Zack Greinke
3B,0,Zack Greinke
HR,0,Zack Greinke
RBI,0,Zack Greinke
BA,0,Zack Greinke
OPS,0,Zack Greinke
Equipo,Astros de Houston,Yuli Gurriel
G,7,Yuli Gurriel
AB,29,Yuli Gurriel
R,3,Yuli Gurriel
H,9,Yuli Gurriel
2B,2,Yuli Gurriel
3B,0,Yuli Gurriel
HR,1,Yuli Gurriel
RBI,5,Yuli Gurriel
BA,0.31,Yuli Gurriel
OPS,0.838,Yuli Gurriel
Equipo,Astros de Houston,Will Harris
G,5,Will Harris
AB,0,Will Harris
R,0,Will Harris
H,0,Will Harris
2B,0,Will Harris
3B,0,Will Harris
HR,0,Will Harris
RBI,0,Will Harris
BA,0,Will Harris
