Nombre,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,G1,AB1,R1,H1,HR1,RBI1,SB1,BA1,OPS1
Matt Adams*,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.04,111,310,42,70,20,56,0,0.226,0.741
Asdrubal Cabrera#,7,21,1,6,1,0,0,3,1,9,0.286,0.318,0.333,0.652,0,0,0,-0.19,131,447,69,116,18,91,4,0.26,0.783
Patrick Corbin*,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,31,65,3,6,0,4,0,0.092,0.24
Sean Doolittle*,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,61,3,0,0,0,0,0,0,0
Brian Dozier,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,135,416,54,99,20,50,3,0.238,0.771
Adam Eaton*,7,25,5,8,0,0,2,6,4,2,0.32,0.433,0.56,0.993,1,0,0,0.06,151,566,103,158,15,49,15,0.279,0.792
Yan Gomes,5,16,2,3,1,0,0,0,0,2,0.188,0.188,0.25,0.438,0,0,0,-0.14,97,314,36,70,12,43,2,0.223,0.704
Javy Guerra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0
Daniel Hudson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Howie Kendrick,7,25,2,7,0,0,1,3,1,4,0.28,0.308,0.4,0.708,0,0,0,0.2,121,334,61,115,17,62,2,0.344,0.966
Gerardo Parra*,4,3,1,0,0,0,0,0,1,2,0,0.25,0,0.25,0,0,0,-0.02,119,274,38,64,9,48,8,0.234,0.684
Tanner Rainey,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0
Anthony Rendon,7,29,3,8,3,0,2,8,3,3,0.276,0.344,0.586,0.93,0,0,1,0.2,146,545,117,174,34,126,5,0.319,1.01
Victor Robles,7,25,4,4,0,1,0,1,2,10,0.16,0.222,0.24,0.462,1,0,0,-0.27,155,546,86,139,17,65,28,0.255,0.745
Fernando Rodney,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
Joe Ross,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.02,28,19,1,2,0,0,0,0.105,0.255
Anibal Sanchez,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.1,27,52,1,6,0,1,0,0.115,0.231
Max Scherzer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55,6,10,0,2,2,0.182,0.364
Juan Soto*,7,27,6,9,2,0,3,7,5,8,0.333,0.438,0.741,1.178,1,0,1,0.42,150,542,110,153,34,110,12,0.282,0.949
Stephen Strasburg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,72,4,12,1,10,0,0.167,0.422
Wander Suero,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0
Kurt Suzuki,3,10,2,2,0,0,1,1,1,3,0.2,0.273,0.5,0.773,0,0,1,0.08,85,280,37,74,17,63,0,0.264,0.809
Michael A. Taylor,1,1,1,1,0,0,1,1,0,0,1,1,4,5,0,0,0,0,53,88,10,22,1,3,6,0.25,0.669
Trea Turner,7,31,4,5,1,0,0,0,3,7,0.161,0.235,0.194,0.429,1,0,1,-0.32,122,521,96,155,19,57,35,0.298,0.85
Ryan Zimmerman,7,24,2,5,0,0,1,2,4,8,0.208,0.321,0.333,0.655,0,0,0,-0.1,52,171,20,44,6,27,0,0.257,0.736
Totales y Promedios,99,241,33,58,8,1,11,32,27,61,0.241,0.32,0.419,0.739,4,0,4,-0.22,162,5512,873,1460,231,867,116,0.265,0.796
